Unnamed: 0,tweet_id,user_id,screen_name,text,time,topic
0,9.68849e+17,8.13793e+17,cajungirl4good,Always knew these kids had ties to #Soros . The parents need to have a Mental background check. ,2/28/2018 14:04,backer
1,9.68669e+17,1862343282.0,Geskalima,"Well, that's what grieving people look like!",2/28/2018 2:06,backer
2,9.69033e+17,4885703096.0,izzieadams1,"Parents, if ur children are involved with George SOROS, pls pls tell them how dangerous that is for them. He is a Nazi & is trying to ruin America, using ANTIFA for instance. Why do u think we’re fighting so hard. FOR AMERICA",3/1/2018 2:12,backer
3,9.68834e+17,3146532809.0,Wesmoms,"Why the hell is planned parenthood sponsoring these ""kids""? Planned parenthood KILLS children in the womb, yet they're sponsoring these ""kids"" in their march for life? #hypocrites #Hypocrisy #PlannedParenthoodMurdersChildren",2/28/2018 13:01,backer
4,9.69031e+17,158429392.0,DTNCA,It all came together just a little too quickly and the presence of professional organizing is obvious hardly spontaneous grassroots movement ,3/1/2018 2:07,backer
5,9.68874e+17,19190837.0,nerbonnej,I bet if you do a little bit of research you would find some of these families have million dollar homes.  This is a plan rolled out by the left and btw shouldn’t DWS be in jail????,2/28/2018 15:41,backer
6,9.69043e+17,8.35905e+17,joeptweet18,"These happy imbeciles are actually celebrating the death of 17 of their colleagues and using the victims for their day of fame. Just look at their expressions. Instead of mourning, they are flying high with joy.",3/1/2018 2:54,backer
7,9.68865e+17,897797426.0,jjd_53,Planned Parenthood is helping those kids! LMAO! If PP had its way those kids would have never been born and PP wud have benefited from selling their little visit parts!,2/28/2018 15:05,backer
8,9.68677e+17,7.86593e+17,LittleItaly53,"Well, they've realized Americans don't care what celebrities think. So now they're banking on these kids to do their work for them. Using people's raw emotions to get them on board the ban guns bandwagon.",2/28/2018 2:39,backer
9,9.68926e+17,9.34167e+17,freedom_girlbot,"Poor kids  , they should have parents that watch over them better",2/28/2018 19:08,backer
10,9.68873e+17,8.32949e+17,LauraLaura1650,They all look so sad from losing classmates.,2/28/2018 15:40,backer
11,9.68844e+17,18255010.0,spectre2012,Where is the minority representation more black teenagers die from gun violence than anyone? #AllLivesMatter,2/28/2018 13:44,backer
12,9.68839e+17,7.31257e+17,DoreeeV,Florida is his home base! He found more Useful Idiots!,2/28/2018 13:21,backer
13,9.68864e+17,341022215.0,JanCatt35,They all look SO saddened by the loss of their classmates....don't they???!!!,2/28/2018 15:00,backer
14,9.68863e+17,7.95753e+17,Preredacted,"Its tough seeing the pain in their faces from the tragedy, no? #rottenindenmark",2/28/2018 14:59,backer
15,9.68712e+17,15480873.0,CS70,Any updates on the Colton Haab story?,2/28/2018 4:59,backer
16,9.69065e+17,1691006022.0,tonylb17,SOROS puppets....,3/1/2018 4:22,backer
17,9.69049e+17,1164705565.0,KandiKropp,Here’s how it works...,3/1/2018 3:16,backer
18,9.6897e+17,8.76907e+17,Col42239925Hope,You have to be kidding. Politics/Soros taking advantage of a disaster at a school. This is about the lowest that anyone could stoop. Just makes my stomach flip,2/28/2018 22:05,backer
19,9.68873e+17,7.57075e+17,dave_notdave,Puppets.,2/28/2018 15:36,backer
