"text","n","stance"
""""" Seventeen of our classmates died and now we are celebrities! Yaaaaay!""""
They disgust me.",2,"Strong Agreement"
"""""I can't remember my lines!""""",2,"Neutral"
"""""I can't remember my lines!""""",2,"Strong Agreement"
"#ColtonHaabSTRONG #ColtonHaabBRAVE",2,"Strong Agreement"
"#ColtonHabb #ScriptedQuestion #ShallNotCensor",2,"Weak Disagreement"
"#ColtonHabb #ScriptedQuestion #ShallNotCensor",2,"Strong Agreement"
"#FreeSpeechDay",2,"Neutral"
"#FreeSpeechDay",2,"Strong Agreement"
"#PAID",2,"Strong Agreement"
"#PatriotColtonHaab",2,"Weak Agreement"
"#PatriotColtonHaab",2,"Strong Agreement"
"#Patriots! We need your help to undo the censorship rampant on the webs!
Surprise!  It looks like someone is messing with the petition numbers!
#InternetBillOfRights Sign, confirm, check spam, cookies 

https://petitions.whitehouse.gov/petition/internet-bill-rights-2 … …  
#QAnon  #Fakenews = FAKE   TY @POTUS 4 ur work!",2,"Neutral"
"#Patriots! We need your help to undo the censorship rampant on the webs!
Surprise!  It looks like someone is messing with the petition numbers!
#InternetBillOfRights Sign, confirm, check spam, cookies 

https://petitions.whitehouse.gov/petition/internet-bill-rights-2 … …  
#QAnon  #Fakenews = FAKE   TY @POTUS 4 ur work!",2,"Strong Agreement"
"#SmellsLikeSoros",2,"Weak Agreement"
"#SmellsLikeSoros",2,"Strong Agreement"
"#Stasi #Gestapo #KGB #FBI",2,"Strong Agreement"
"#Stasi #Gestapo #KGB #FBI",2,"Neutral"
"$$ talks that allowed BS TO TALK !!! Exploiting the EMOTIONAL MATURITY OF YOUNG ADULTS  !! Snakes in grass up to our   EYES ??  Lower for sure !!",2,"Strong Agreement"
"$500,000 """"donated"""" by George Clooney....for what purpose?",2,"Weak Agreement"
"*Vets took oath to defend Constitution; not a party or person.
*Anti-constitutionalists exploit what they can to end USA and constitution.
*2A exists because of/to protect from, Govt’s abuse. 2A guarantees 1A!  
*Europe = catastrophe so don’t preach to U.S. from your pigsty.",2,"Weak Agreement"
"*Vets took oath to defend Constitution; not a party or person.
*Anti-constitutionalists exploit what they can to end USA and constitution.
*2A exists because of/to protect from, Govt’s abuse. 2A guarantees 1A!  
*Europe = catastrophe so don’t preach to U.S. from your pigsty.",2,"Weak Disagreement"
"@Acosta is a rude baby

Give him hell @PressSec",2,"Neutral"
"@AdamSchefter pretty easy when your coached.....",2,"Weak Agreement"
"@benshapiro MUST WATCH",2,"Strong Agreement"
"@ChelseaClinton 850,000 marching in DC is nothing. There are millions of ignorant youth in America today. I'm sure you can relate...",2,"Weak Agreement"
"@ChelseaClinton 850,000 marching in DC is nothing. There are millions of ignorant youth in America today. I'm sure you can relate...",2,"Weak Disagreement"
"@CNN Disgusting Leftwing Media",2,"Weak Agreement"
"@CNN Disgusting Leftwing Media",2,"Strong Agreement"
"@CNN is a bunch of posers! IOI would be proud of them! What a big fail! Thank you for sharing.",2,"Strong Agreement"
"@CNN this is your go to child right?",2,"Strong Agreement"
"@CNN this is your go to child right?",2,"Neutral"
"@cnnbrk @CNN stop the bias! #stopbiascnn #CNNFakeNews not a Russian @POTUS @realDonaldTrump",2,"Neutral"
"@cnnbrk @CNN stop the bias! #stopbiascnn #CNNFakeNews not a Russian @POTUS @realDonaldTrump",2,"Strong Agreement"
"@cnnbrk posted video segments all night as the town hall was happening. Did anyone see that video segment of everyone booing a story about a rape that could have possibly been avoided if the woman had a gun? Yeah, neither did I.",1,"Weak Agreement"
"@cnnbrk posted video segments all night as the town hall was happening. Did anyone see that video segment of everyone booing a story about a rape that could have possibly been avoided if the woman had a gun? Yeah, neither did I.",1,"Strong Disagreement"
"@cnnbrk posted video segments all night as the town hall was happening. Did anyone see that video segment of everyone booing a story about a rape that could have possibly been avoided if the woman had a gun? Yeah, neither did I.",1,"Neutral"
"@cnnbrk posted video segments all night as the town hall was happening. Did anyone see that video segment of everyone booing a story about a rape that could have possibly been avoided if the woman had a gun? Yeah, neither did I.",1,"Weak Disagreement"
"@cnnbrk posted video segments all night as the town hall was happening. Did anyone see that video segment of everyone booing a story about a rape that could have possibly been avoided if the woman had a gun? Yeah, neither did I.",1,"Strong Agreement"
"@davidhogg111 how much you were paid?",2,"Strong Agreement"
"@marcorubio you got played",2,"Weak Agreement"
"@marcorubio you got played",2,"Neutral"
"300 that's it? Mr Soros pays me 7000 per Facebook and Twitter post",2,"Weak Disagreement"
"42. Create the impression that violence and insurrection are legitimate aspects of the American tradition; that students and special-interest groups should rise up and use """"united force"""" to solve economic, political or social problems.",2,"Neutral"
"42. Create the impression that violence and insurrection are legitimate aspects of the American tradition; that students and special-interest groups should rise up and use """"united force"""" to solve economic, political or social problems.",2,"Weak Agreement"
"A mass shooting in your school and your this happy? 
Just asking for a friend.",2,"Neutral"
"“Not political” my pale white butt. Even if these kids think they’re doing something apolitical, the people in their ears are making this political and maneuvering these teens to make the left’s talking points.",2,"Weak Agreement"
"“Not political” my pale white butt. Even if these kids think they’re doing something apolitical, the people in their ears are making this political and maneuvering these teens to make the left’s talking points.",2,"Strong Agreement"
"Adding @JacobAWohl to my list of Twitter users creating fake news... there we go. You are on the list, sir.",2,"Weak Disagreement"
"Adding @JacobAWohl to my list of Twitter users creating fake news... there we go. You are on the list, sir.",2,"Strong Disagreement"
"Again - HMMMM",2,"Neutral"
"Again - HMMMM",2,"Weak Agreement"
"Again CNN takes a position with OBama years before and seizes the opportunity to push the agenda again. Keep the politics out. Concentrate on what actually works in a bigger picture.",2,"Weak Agreement"
"Again this is BS! #ImWithTheKids #imwithcnn",2,"Strong Disagreement"
"Again this is BS! #ImWithTheKids #imwithcnn",2,"Weak Disagreement"
"Ahh, good. These children are catching on. I’m glad that I was worried for nothing. ",2,"Strong Agreement"
"Ahh, good. These children are catching on. I’m glad that I was worried for nothing. ",2,"Weak Agreement"
"All radical, misfit, malcontent, anti American,anti-Democracy staged """"movements""""...are  funded somehow by soros or soros connected cash !  Hasn't Hungy an arrest warrent out for hjiom? Lets help them out & read the EO issed on 2/21/17",2,"Strong Agreement"
"All radical, misfit, malcontent, anti American,anti-Democracy staged """"movements""""...are  funded somehow by soros or soros connected cash !  Hasn't Hungy an arrest warrent out for hjiom? Lets help them out & read the EO issed on 2/21/17",2,"Weak Agreement"
"Always, Always, ALWAYS
#FollowTheMoney

It usually leads back to #Soros
and #ClintonCorruption 

@realDonaldTrump ",2,"Neutral"
"Always, Always, ALWAYS
#FollowTheMoney

It usually leads back to #Soros
and #ClintonCorruption 

@realDonaldTrump ",2,"Strong Agreement"
"And another point... the astounding number of cities/school districts (like Baltimore City @MayorPugh50) who bragged about sending 3,000 students on 60 busses (with free t-shirts & meals) at an estimated cost to the City Schools of over $100,000.",2,"Strong Agreement"
"And another point... the astounding number of cities/school districts (like Baltimore City @MayorPugh50) who bragged about sending 3,000 students on 60 busses (with free t-shirts & meals) at an estimated cost to the City Schools of over $100,000.",2,"Weak Agreement"
"And how many did the White House in there powwow today you big puss bag.",2,"Strong Disagreement"
"And how many did the White House in there powwow today you big puss bag.",2,"Neutral"
"Another Soros AstroTurf campaign?",2,"Neutral"
"Anybody surprised that @cnn scripted questions?(Didn’t they give Hilary questions too) we all know @cnn “news” is fiction!",2,"Neutral"
"Anybody surprised that @cnn scripted questions?(Didn’t they give Hilary questions too) we all know @cnn “news” is fiction!",2,"Weak Agreement"
"Anyone can post an ad on Craig’s list- they don’t do a lot of vetting.",2,"Weak Disagreement"
"Anyone can post an ad on Craig’s list- they don’t do a lot of vetting.",2,"Neutral"
"Anyone surprised.  They're using these ignorant children, passing them around like whores, just for their leftist political agenda.  That's what political, socialist pimps do.  The question is, where are their parents to protect them, or are they Socialist whores too?",2,"Strong Agreement"
"Anyone surprised.  They're using these ignorant children, passing them around like whores, just for their leftist political agenda.  That's what political, socialist pimps do.  The question is, where are their parents to protect them, or are they Socialist whores too?",2,"Weak Agreement"
"Anyone that isn't wearing blinders seen this shit coming a mile away. Everything was done too quick and too organized.",2,"Strong Agreement"
"Anytime a leftist plot is reported on, they call it a """"conspiracy theory"""". 
Every. Time.",2,"Neutral"
"Anytime a leftist plot is reported on, they call it a """"conspiracy theory"""". 
Every. Time.",2,"Strong Agreement"
"Apparently #FakeCrowds",2,"Weak Disagreement"
"Apparently #FakeCrowds",2,"Neutral"
"As usual, wrong again.",2,"Weak Disagreement"
"As usual, wrong again.",2,"Strong Disagreement"
"Awesome job!",2,"Strong Agreement"
"Awesome job!",2,"Weak Agreement"
"Because it's been proved he wasn't a student there? Just a wild guess... Stooge.",2,"Strong Agreement"
"Because it's been proved he wasn't a student there? Just a wild guess... Stooge.",2,"Weak Agreement"
"Boy thats really fair isnt it.    Why they are at the bottom",2,"Weak Agreement"
"BTW #DavidHogg is NOT a Florida high school student. He's actually a graduate of a high school in California.",2,"Weak Disagreement"
"BTW #DavidHogg is NOT a Florida high school student. He's actually a graduate of a high school in California.",2,"Strong Agreement"
"Busted lying and doctoring emails.",2,"Weak Disagreement"
"But I thought we were supposed to listen to all of the kids ? Like yesterday ?",2,"Neutral"
"CAUGHT RED HANDED! JACOB WOHL WITH HIS HEAD UP HIS ASS!",2,"Strong Disagreement"
"CAUGHT RED HANDED! JACOB WOHL WITH HIS HEAD UP HIS ASS!",2,"Weak Disagreement"
"clear headed, clear spoken. good training.  and no """"flubbing"""" of his lines because they aren't """"lines"""".",2,"Weak Disagreement"
"CNN's  narrative was too important.",2,"Weak Agreement"
"CNN's  narrative was too important.",2,"Strong Agreement"
"CNN = Communist News Network",2,"Weak Agreement"
"CNN = Communist News Network",2,"Neutral"
"CNN did not want to hear honest questions and answers. They only wanted to hear the questions they wanted asked. People should realize it was all rigged",2,"Weak Disagreement"
"CNN fake news",2,"Strong Agreement"
