tweet_id,user_id,screen_name,text,time,FakeNews
9.68849E+17,8.13793E+17,cajungirl4good,Always knew these kids had ties to #Soros . The parents need to have a Mental background check. ,2/28/2018 14:04,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.68669E+17,1862343282,Geskalima,"Well, that's what grieving people look like!",2/28/2018 2:06,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.69033E+17,4885703096,izzieadams1,"Parents, if ur children are involved with George SOROS, pls pls tell them how dangerous that is for them. He is a Nazi & is trying to ruin America, using ANTIFA for instance. Why do u think we’re fighting so hard. FOR AMERICA",3/1/2018 2:12,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.68834E+17,3146532809,Wesmoms,"Why the hell is planned parenthood sponsoring these ""kids""? Planned parenthood KILLS children in the womb, yet they're sponsoring these ""kids"" in their march for life? #hypocrites #Hypocrisy #PlannedParenthoodMurdersChildren",2/28/2018 13:01,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.69031E+17,158429392,DTNCA,It all came together just a little too quickly and the presence of professional organizing is obvious hardly spontaneous grassroots movement ,3/1/2018 2:07,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.68874E+17,19190837,nerbonnej,I bet if you do a little bit of research you would find some of these families have million dollar homes.  This is a plan rolled out by the left and btw shouldn’t DWS be in jail????,2/28/2018 15:41,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.69043E+17,8.35905E+17,joeptweet18,"These happy imbeciles are actually celebrating the death of 17 of their colleagues and using the victims for their day of fame. Just look at their expressions. Instead of mourning, they are flying high with joy.",3/1/2018 2:54,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.68865E+17,897797426,jjd_53,Planned Parenthood is helping those kids! LMAO! If PP had its way those kids would have never been born and PP wud have benefited from selling their little visit parts!,2/28/2018 15:05,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.68677E+17,7.86593E+17,LittleItaly53,"Well, they've realized Americans don't care what celebrities think. So now they're banking on these kids to do their work for them. Using people's raw emotions to get them on board the ban guns bandwagon.",2/28/2018 2:39,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.68926E+17,9.34167E+17,freedom_girlbot,"Poor kids  , they should have parents that watch over them better",2/28/2018 19:08,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.68873E+17,8.32949E+17,LauraLaura1650,They all look so sad from losing classmates.,2/28/2018 15:40,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.68844E+17,18255010,spectre2012,Where is the minority representation more black teenagers die from gun violence than anyone? #AllLivesMatter,2/28/2018 13:44,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.68839E+17,7.31257E+17,DoreeeV,Florida is his home base! He found more Useful Idiots!,2/28/2018 13:21,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
9.68864E+17,341022215,JanCatt35,They all look SO saddened by the loss of their classmates....don't they???!!!,2/28/2018 15:00,"When I reported on this I was called a ""conspiracy theorist"" - Buzzfeed is now confirming these student activists have massive backers (WITH SOROS TIES). No credibility."
