,tweet_id,user_id,screen_name,text,time,topic
0,9.65742E+17,1332568579,JamesRitch1,So Hogg is the son of an #FBI agent.  PERFECT #FBICorruption,2/20/2018 0:18,FBI
1,9.65724E+17,8.25576E+17,EdJorgenson1,That boy better study his script a little better.,2/19/2018 23:05,FBI
2,9.6589E+17,457289069,sammyintheair,The FBI needs to be gutted,2/20/2018 10:04,FBI
3,9.66053E+17,7.84923E+17,MarshaPeters919,"@Acosta is a rude baby

Give him hell @PressSec",2/20/2018 20:52,FBI
4,9.66032E+17,423168084,cmg1266,Is this him?,2/20/2018 19:30,FBI
5,9.65813E+17,107033885,kimmieguy,"They want to defect from their total screwup. They want focus off of them not following up on 2 tips of “see something, say something”. Diversion.",2/20/2018 4:59,FBI
6,9.65867E+17,7.97729E+17,spudflyer,Holy Fuck!,2/20/2018 8:33,FBI
7,9.66104E+17,7.81687E+17,TrumpWillWinnn,"#Hogg #Hoggwash #gunsense #GunsSaveLives 
Paid activist.
The Agenda? 
Give up your guns so you can't defend yourself.",2/21/2018 0:16,FBI
8,9.65744E+17,885871045,BonBee81,This is it clean house at @FBI enough is enough @realDonaldTrump,2/20/2018 0:22,FBI
9,9.65742E+17,1104969835,JasFazolka,"I suspect that his daddy is also covering his ass for not doing his job, and stopping the nut job. If @fbi hierarchy diggs deeper, maybe they will find out, that his daddy actually provided guns to the shooter. I will believe this too. @BarackObama completely destroyed the law.",2/20/2018 0:16,FBI
10,9.65726E+17,2794184389,sample1_,"Where was David Hogg when the page was blank, he didn't notice the red flags or know how to report a threat? Where did he learn that at home?",2/19/2018 23:11,FBI
11,9.66037E+17,8.94966E+17,john_stieglitz,Any questions now as to how low they will go? ,2/20/2018 19:48,FBI
12,9.66001E+17,8.1527E+17,HUDAHAR2,"What you posit is the reason ths FBI is aware of so many mass casualty events, but seems to ""fail"" to take action. The have pulled that trick too many times for it to be believeable anymore. There just aren't that many coincidences possible.",2/20/2018 17:26,FBI
13,9.65986E+17,8.23186E+17,americansparky,To try and take the attention from their lack of investigation after getting tips that could have prevented this http://massacre.Fire  them all and start over.,2/20/2018 16:25,FBI
14,9.65951E+17,9.08506E+17,AlexLondonUK,"Manipulation, spin & corruption is all they know.",2/20/2018 14:08,FBI
15,9.65948E+17,8.29851E+17,ilsadhinsley,Everyone says problems at FBI are only at the top. I disagree. I don't believe any agents can be trusted to do their job. Too many failures.,2/20/2018 13:55,FBI
16,9.65797E+17,2553755252,TonjandHaleg,This is too fantastic to be a coincidence.,2/20/2018 3:56,FBI
17,9.65747E+17,541198983,SERD1983,This tweet should go VIRAL!!!!!,2/20/2018 0:38,FBI
18,9.6573E+17,8.20047E+17,nutranick,,2/19/2018 23:28,FBI
19,9.66135E+17,531706752,PJKuhlenbeckIII,,2/21/2018 2:17,FBI
20,9.66001E+17,151284118,rockinrobyn59,Wow! His DAD is in the @FBI ??? The plot thickens. They picked out those kids 4 that interview pretty carefully didn't they?,2/20/2018 17:25,FBI
21,9.65983E+17,9.65826E+17,EndofTimes27,"https://youtu.be/Sr1oyK5lvqQ?t=4m40s …

Hey so at this very moment you can see Emma Gonzaels or w.e. eyes twitch to the camera because she messed up the 'script'

""First thing""
*corrected and she looks at a producer*
'right now'
*producer probs tells her to repeat to cover*",2/20/2018 16:13,FBI
22,9.65771E+17,7.03012E+17,lennypublic26,That’s what dirt bag progressive socialist do. Their surprisingly like ISIS recruiting youth to carry out their attacks on a free society. It’s certainly despicable and theirs no defense for it.,2/20/2018 2:12,FBI
23,9.65732E+17,1684178449,gbsamples,He will probably be lead the #Soros funded marches,2/19/2018 23:38,FBI
24,9.65805E+17,9.27723E+17,YourAuntieMame,CRISIS ACTOR!! Hogg is outed!,2/20/2018 4:26,FBI
25,9.65727E+17,20631517,noyokono,"You’re a real piece of work, pal.",2/19/2018 23:16,FBI
26,9.66139E+17,1561122720,TexanMAGA,,2/21/2018 2:33,FBI
27,9.66072E+17,8.05191E+17,mwenger1993,I would like to know if he goes to Marjory Stoneman Douglas High School. I have a feeling he doesn't and just went there to grandstand.,2/20/2018 22:07,FBI
28,9.66038E+17,423168084,cmg1266,,2/20/2018 19:53,FBI
29,9.66011E+17,20241421,mikekivi,"That’s some sting, put your kid in front of a lunatic with an automatic weapon, assume he will survive to bring down POTUS. Think I’ll give the screenplay for that movie a miss as too far fetched!",2/20/2018 18:05,FBI
30,9.65975E+17,9.48627E+17,WaterCoolerRev1,,2/20/2018 15:44,FBI
31,9.65805E+17,4727807677,DemiWuflower,Agree...,2/20/2018 4:26,FBI
32,9.65797E+17,1453418317,JoshNoneYaBiz,Red flag,2/20/2018 3:54,FBI
33,9.65772E+17,8.55192E+17,ThoughtsNotBots,It only takes a few bucks folks. Crisis Actors take a group selfie just before the tears flow and the anti gun stories flood the media.,2/20/2018 2:14,FBI
34,9.6576E+17,9.28433E+17,GWhizSmith,Isn't this a jihadi tactic?  They do the same thing with suicide bombers.,2/20/2018 1:29,FBI
35,9.65732E+17,2193119821,TonyKulesza,Its all about their upbringing. Not surprised he is a direct contribution from the lions of one of our FBI agents.,2/19/2018 23:38,FBI
36,9.6573E+17,3389835484,janel_savage,Debbie Wasserman Schultz,2/19/2018 23:27,FBI
37,9.65722E+17,1061687370,JensJenson1,"You're attacking a teenager who just went through a mass shooting, witnessing the slaughter of his schoolmates. That takes some kind of balls, man. Attacking a victim of a serious crime. Hell has a special level for you.",2/19/2018 22:57,FBI
38,9.66133E+17,7.16435E+17,JenMax57,"Everything you've said is absolutely true, but these drills are planned long in advance. Ha! Right in the middle of writing this, Twitter checked my location. Stopped the tweet and made me verify location. Unbelievable! Anyway, drill is abt mental health laws",2/21/2018 2:10,FBI
39,9.65954E+17,1644555289,charliemac60,"Hitler used Children to spread his propaganda, So why wouldn’t the Left Communist? If you look back in History and what Hitler did, And what the Left is doing now, Its the same thing all over agin!",2/20/2018 14:21,FBI
40,9.66046E+17,625336683,mmlanz333,Soros actor too!,2/20/2018 20:23,FBI
41,9.66004E+17,8.23256E+17,TNGradPa,"Soros, Democrats, Globalist, can't take over citizens if they are well armed.",2/20/2018 17:39,FBI
42,9.65965E+17,9.48305E+17,ChristinaC40,This kid was a little too calm,2/20/2018 15:03,FBI
43,9.65809E+17,9.37118E+17,MCBostonMAGA,And not Very Well I might add! He could not have been more obvious! Thank you’d Dad for us!,2/20/2018 4:44,FBI
44,9.65751E+17,2393465623,JoshDrake22,Poorly sourced and poorly written.,2/20/2018 0:52,FBI
45,9.65748E+17,8.4109E+17,floridafriend33,"Not to offend, but no matter the situation, you dont demand a President to see you on your terms. This is what is wrong and makes shooters out of children. They need to learn we have to work to acheive. No one owes you anything, you win on your own and lose on your own",2/20/2018 0:39,FBI
46,9.65731E+17,57944186,rwwilmington,You should seek help.  Seriously attacking a high school kid.  What is your fucking problem.,2/19/2018 23:35,FBI
47,9.65751E+17,14823490,lamekuil,wow very brave of you to go after a kid whose friends were murdered in an act of terrorism. you are the lowest little worm,2/20/2018 0:54,FBI
48,9.65751E+17,66495289,reluctantzealot,"The child is a school shooting survivor. 

Republicans attacking the child is shameful.

#shameonyou",2/20/2018 0:52,FBI
49,9.66322E+17,4875896757,WinnaWinna2016,"I'd have to imagine after the 
Many recent Failure of the FBI to do anything for the last bunch of shooters it knew about, would be a great reason too",2/21/2018 14:42,FBI
50,9.66224E+17,7.53907E+17,penniryn,He is a paid actor.,2/21/2018 8:13,FBI
51,9.66161E+17,9.62473E+17,CapUSA1,,2/21/2018 3:59,FBI
52,9.66155E+17,34715057,SueCQ58,"Stop spreading blatant lies! #ParklandStudents are speaking out in their own, without help. Today’s young adults are intelligent articulate and aware of current events. They witnessed a horrific event and want to prevent it from happening again.",2/21/2018 3:36,FBI
53,9.6613E+17,353388367,Mannix1925,The left only cares about gun confiscation. They don’t care about saving lives.,2/21/2018 1:58,FBI
54,9.66102E+17,3031658439,Austinforkeep,I hope people aren’t ignorant enough to believe these kids are actors!!  They probably planned the entire mass shooting...? Huh?  Stop being ignorant.  These kids are smart and shouldn’t be bashed for doing what they feel is right.,2/21/2018 0:05,FBI
55,9.66091E+17,1837344762,Jajngn,"Police state red flag? That’s a lot of paranoia, someone ask The Mr.s Hogg (father and son)if this is coincidence.",2/20/2018 23:23,FBI
56,9.66004E+17,533014463,rtbeliever,Wow. It’s even worse than I dared to believe.,2/20/2018 17:37,FBI
57,9.66002E+17,7.73611E+17,PetePerkins8,"They botched trying to the the election for killary, now,  this is plan B.",2/20/2018 17:29,FBI
58,9.65999E+17,8.31677E+17,ta193919632009,#Stasi #Gestapo #KGB #FBI,2/20/2018 17:17,FBI
59,9.65964E+17,37440384,fREEXband,Reptilians walk among us and have infiltrated all levels of govt & law enforcement. This was a reptoid false flag to disarm us. Kid comes from a reptilian lineage. I’m only slightly joking here.,2/20/2018 14:58,FBI
60,9.65951E+17,63398970,kellert80,"So for me, a critical thinker, I ask “If this guy is so coached, was he even there? Did this even happen the way they say?” The elaborate hoax of sandy hook(tons of evidence if you look)shows how low evil will go. #FalseFlag",2/20/2018 14:05,FBI
61,9.65898E+17,3171598986,itsonfyre,Stinks of the far left and @CNN to high heaven.,2/20/2018 10:37,FBI
62,9.65853E+17,9.26475E+17,US_Patriot_BN,"These Florida Shooting survivors are obviously being coached by the liberal-left media. Every person that is coaching these kids and politicizing them for their own agenda is just as sick as the Florida school shooter is.

#Sick #Sad #Shame #LiberalHate",2/20/2018 7:38,FBI
63,9.65834E+17,7.32721E+17,IiDhcapecod,,2/20/2018 6:23,FBI
64,9.65804E+17,8.48613E+17,JohnLEE79289477,Once the top dogs are out should be better.  At least for awhile,2/20/2018 4:21,FBI
65,9.65803E+17,759349158,CaptKevinB,It's called child abuse. Serious emotional injury.,2/20/2018 4:19,FBI
66,9.658E+17,9.64654E+17,RLC09486867,You should be ashamed of yourself.  Did you survive being shot at?  NO! So shut up.,2/20/2018 4:09,FBI
67,9.65797E+17,1909254804,KenDWebber,This is helpful knowledge... https://youtu.be/mVs9psi_G5k ,2/20/2018 3:56,FBI
68,9.65791E+17,8.46489E+17,Susanwo61075281,I have not heard any empathy from him! His angry face & obvious agenda does not lead to solutions! Just telling me how to think! NO WAY LIBS,2/20/2018 3:30,FBI
69,9.65768E+17,2724583898,DFusit,@CNN this is your go to child right?,2/20/2018 1:59,FBI
70,9.65748E+17,9.60953E+17,gino868621,The left doing dirty work again,2/20/2018 0:42,FBI
71,9.6574E+17,9.2299E+17,GoldCovfefe,You’re a sick fuck,2/20/2018 0:10,FBI
72,9.65729E+17,15399274,TomWestLoop,You are disgusting.,2/19/2018 23:26,FBI
73,9.65729E+17,32319442,anastunya,Not the first time @FBI involved in using children!  #FollowTheWhiteRabbit,2/19/2018 23:23,FBI
74,9.65727E+17,2356356972,SenatorObvious,"It isn’t enough that a MAGA hat wearing shooter killed 17 kids, now the fascist right has to attack them further. You’re disgusting.",2/19/2018 23:15,FBI
75,9.65722E+17,8.6456E+17,NedRyersonPunx,Oh BS.,2/19/2018 22:57,FBI
76,9.65759E+17,27616145,BottomFeederMus,so you are that petty to think this kid who survived this wouldnt feel this way?,2/20/2018 1:25,FBI
77,9.67421E+17,701372542,TerryStAug,This has been debunked!,2/24/2018 15:29,FBI
78,9.67269E+17,20871101,mike1962walsh,This is little Hogg. Daddy FBI is big Hogg!,2/24/2018 5:24,FBI
79,9.66779E+17,229142660,sanfordschram,,2/22/2018 20:59,FBI
80,9.66688E+17,1217014524,branan_edgens,So 17 kids are killed and your rage is directed at... one of the survivors? Just making sure I'm reading your statement correctly.,2/22/2018 14:54,FBI
81,9.66539E+17,39119875,TFisherwa,"Dude, you need to get a grip",2/22/2018 5:02,FBI
82,9.6653E+17,9.30863E+17,RBerg08674810,What a sham. These people use tragedy to further their scams. Falsely claiming to be harmed and someone you are not for personal gain is FRAUD!!,2/22/2018 4:29,FBI
83,9.66525E+17,1687118966,TobyResier,OUR?,2/22/2018 4:08,FBI
84,9.66519E+17,102909501,mauigirl10,And this child is to young too realize he’s being used.  He looks like his always angry and have that hateful look. Sad,2/22/2018 3:44,FBI
85,9.66497E+17,625518704,SCNewsFan,Your crazy is making my head hurt. WTF.,2/22/2018 2:15,FBI
86,9.66472E+17,7.41459E+17,wicketnatas,Notice he wasn’t invited to the Whitehouse!,2/22/2018 0:36,FBI
87,9.66458E+17,8.29489E+17,markbaru1,Lucian isn't  the poor mans Milo anymore . He's the poor mans Alex Jones,2/21/2018 23:42,FBI
88,9.66428E+17,7.87026E+17,Vickiwhatever,Listen to Jimmy Dore on a NSA whistleblower on corruption,2/21/2018 21:41,FBI
89,9.66414E+17,9.50384E+17,UneducatedLoser,Why would the FBI not use it to save face after dropping the ball? These people are stupid.,2/21/2018 20:45,FBI
90,9.66399E+17,2875828868,CodyGilbert3,FBI screwed up. Kid is trying to deflect from FBI's multiple lapses.,2/21/2018 19:45,FBI
91,9.66391E+17,2170206188,KeithDB80,"Why would you invent this nutty conspiracy theory lie that just creates them being ""pawns"" instead of acting for themselves like real people? If everyone is a pawn, who are you a pawn to?",2/21/2018 19:14,FBI
92,9.66354E+17,8.29934E+17,AndreaS37687,"VERY IMPORTANT VIDEO. Federal ""Drills"" on going at 911, Newtown, Texas, Fla., Las Vegas BEFORE the killings.  Pay attn to the details.  PAY ATTN
@tracybeanz @Thomas1774Paine @drawandstrike",2/21/2018 16:48,FBI
93,9.66351E+17,1235332752,HappyinaMini,"What a horrid, disgusting person you are, Lucian.",2/21/2018 16:38,FBI
94,9.66346E+17,8.75491E+17,_Dilios,Child??,2/21/2018 16:16,FBI
95,9.66339E+17,206803941,TapiaCorel,"So YOU are citing your OWN article???????????
SERIOUSLY???????????????????
Like that makes you legit??????",2/21/2018 15:47,FBI
96,9.66338E+17,206803941,TapiaCorel,"Why don't you so something as significant, or are you incapable and can only be a parasite, feeding off of others' achievements? Hmmmm?",2/21/2018 15:45,FBI
97,9.66319E+17,19342389,murphstix,Bigger question...how stupid do they think everyone is?,2/21/2018 14:30,FBI
98,9.66314E+17,2356566872,KrazyTrucker,,2/21/2018 14:10,FBI
99,9.66298E+17,2167274451,StateofBall,Y’all are psychotic to believe this,2/21/2018 13:04,FBI
100,9.66281E+17,7.97543E+17,TheRedMantisEye,https://twitter.com/chiweethedog/status/966179087717892096 …,2/21/2018 11:56,FBI
101,9.66249E+17,9.46394E+17,PageLynns,,2/21/2018 9:50,FBI
102,9.66218E+17,1055761406,patgunn66,Has anyone verified that David Hogg or any of those kids are actually students at the school?,2/21/2018 7:49,FBI
103,9.66213E+17,7.88648E+17,Toledobendbum,,2/21/2018 7:28,FBI
104,9.66203E+17,63827798,shallit43,Just when you though the crazy Republicans couldn't go any lower...,2/21/2018 6:46,FBI
105,9.66197E+17,7.40182E+17,RhinoBug,,2/21/2018 6:23,FBI
